Diagnóstico principal (CIE10MC),Total Nacional,Comunidades y Ciudades Autónomas,Total
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Castilla y león,11795
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Castilla - la mancha,7531
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Cataluña,29097
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Comunitat valenciana,16354
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Extremadura,4480
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Galicia,11298
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,"Madrid, comunidad de",23621
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,"Murcia, región de",5084
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,"Navarra, comunidad foral de",2350
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,País vasco,8335
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,"Rioja, la",1142
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Ceuta,237
1108 Otra hernia abdominal K41-K46,TOTAL NACIONAL,Melilla,182
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Andalucía,22354
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Aragón,3069
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Asturias, principado de",3335
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Balears, illes",2175
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Canarias,5205
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Cantabria,1420
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Castilla y león,4692
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Castilla - la mancha,5130
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Cataluña,17743
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Comunitat valenciana,11860
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Extremadura,2470
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Galicia,7474
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Madrid, comunidad de",13967
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Murcia, región de",3638
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Navarra, comunidad foral de",1631
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,País vasco,7147
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,"Rioja, la",870
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Ceuta,256
1109 Enfermedad de Crohn y colitis ulcerosa K50-K51,TOTAL NACIONAL,Melilla,133
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Andalucía,22135
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Aragón,5258
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Asturias, principado de",4093
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Balears, illes",5254
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Canarias,6371
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Cantabria,2033
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Castilla y león,11423
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Castilla - la mancha,7615
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Cataluña,25934
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Comunitat valenciana,17324
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Extremadura,4690
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Galicia,12669
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Madrid, comunidad de",21461
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Murcia, región de",6426
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Navarra, comunidad foral de",1622
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,País vasco,8191
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,"Rioja, la",1804
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Ceuta,246
1110 Otras gastroenteritis y colitis no infecciosas y las no especificadas K52,TOTAL NACIONAL,Melilla,107
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Andalucía,28440
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Aragón,7104
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Asturias, principado de",6846
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Balears, illes",4880
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Canarias,10719
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Cantabria,2140
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Castilla y león,16210
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Castilla - la mancha,11942
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Cataluña,38852
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Comunitat valenciana,22991
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Extremadura,6117
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Galicia,15863
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Madrid, comunidad de",27033
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Murcia, región de",5507
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Navarra, comunidad foral de",2487
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,País vasco,12039
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,"Rioja, la",2089
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Ceuta,59
1111 Íleo paralítico y obstrucción intestinal sin hernia K56,TOTAL NACIONAL,Melilla,295
1112 Divertículos intestinales K57,TOTAL NACIONAL,Andalucía,27826
1112 Divertículos intestinales K57,TOTAL NACIONAL,Aragón,5451
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Asturias, principado de",6788
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Balears, illes",5599
1112 Divertículos intestinales K57,TOTAL NACIONAL,Canarias,9378
1112 Divertículos intestinales K57,TOTAL NACIONAL,Cantabria,2088
1112 Divertículos intestinales K57,TOTAL NACIONAL,Castilla y león,12460
1112 Divertículos intestinales K57,TOTAL NACIONAL,Castilla - la mancha,6966
1112 Divertículos intestinales K57,TOTAL NACIONAL,Cataluña,32984
1112 Divertículos intestinales K57,TOTAL NACIONAL,Comunitat valenciana,18787
1112 Divertículos intestinales K57,TOTAL NACIONAL,Extremadura,4245
1112 Divertículos intestinales K57,TOTAL NACIONAL,Galicia,17179
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Madrid, comunidad de",26766
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Murcia, región de",5679
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Navarra, comunidad foral de",2685
1112 Divertículos intestinales K57,TOTAL NACIONAL,País vasco,11728
1112 Divertículos intestinales K57,TOTAL NACIONAL,"Rioja, la",1842
1112 Divertículos intestinales K57,TOTAL NACIONAL,Ceuta,137
1112 Divertículos intestinales K57,TOTAL NACIONAL,Melilla,115
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Andalucía,17134
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Aragón,3461
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Asturias, principado de",3362
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Balears, illes",1976
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Canarias,3984
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Cantabria,832
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Castilla y león,6882
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Castilla - la mancha,5244
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Cataluña,21925
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Comunitat valenciana,10712
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Extremadura,3518
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Galicia,8082
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Madrid, comunidad de",13968
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Murcia, región de",4005
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Navarra, comunidad foral de",1363
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,País vasco,6693
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,"Rioja, la",798
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Ceuta,39
1113 Enfermedades del ano y recto K60-K62,TOTAL NACIONAL,Melilla,112
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Andalucía,22996
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Aragón,6261
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Asturias, principado de",5813
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Balears, illes",3612
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Canarias,9189
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Cantabria,2189
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Castilla y león,12571
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Castilla - la mancha,9058
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Cataluña,32597
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Comunitat valenciana,16528
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Extremadura,4184
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Galicia,14242
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Madrid, comunidad de",24312
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Murcia, región de",5025
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Navarra, comunidad foral de",2675
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,País vasco,9299
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,"Rioja, la",1583
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Ceuta,227
"1114 Otras enfermedades del intestino K55, K58-K59, K63",TOTAL NACIONAL,Melilla,226
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Andalucía,20225
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Aragón,3900
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Asturias, principado de",3557
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Balears, illes",3888
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Canarias,7193
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Cantabria,2101
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Castilla y león,5969
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Castilla - la mancha,5032
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Cataluña,24800
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Comunitat valenciana,11061
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Extremadura,3573
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Galicia,12083
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Madrid, comunidad de",14861
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Murcia, región de",4702
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Navarra, comunidad foral de",1797
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,País vasco,5947
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,"Rioja, la",1076
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Ceuta,74
1115 Enfermedad alcohólica del hígado K70,TOTAL NACIONAL,Melilla,53
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Andalucía,24033
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Aragón,4879
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Asturias, principado de",3135
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Balears, illes",4562
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Canarias,6860
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Cantabria,1804
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Castilla y león,8459
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Castilla - la mancha,5269
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Cataluña,33705
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Comunitat valenciana,14496
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Extremadura,3401
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Galicia,10996
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Madrid, comunidad de",21589
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Murcia, región de",5077
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Navarra, comunidad foral de",1739
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,País vasco,6320
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,"Rioja, la",1295
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Ceuta,140
1116 Otras enfermedades del hígado K71-K77,TOTAL NACIONAL,Melilla,179
1117 Colelitiasis K80,TOTAL NACIONAL,Andalucía,78304
1117 Colelitiasis K80,TOTAL NACIONAL,Aragón,17005
1117 Colelitiasis K80,TOTAL NACIONAL,"Asturias, principado de",11861
1117 Colelitiasis K80,TOTAL NACIONAL,"Balears, illes",10599
1117 Colelitiasis K80,TOTAL NACIONAL,Canarias,18402
1117 Colelitiasis K80,TOTAL NACIONAL,Cantabria,5411
1117 Colelitiasis K80,TOTAL NACIONAL,Castilla y león,32679
1117 Colelitiasis K80,TOTAL NACIONAL,Castilla - la mancha,22485
1117 Colelitiasis K80,TOTAL NACIONAL,Cataluña,72720
1117 Colelitiasis K80,TOTAL NACIONAL,Comunitat valenciana,39178
1117 Colelitiasis K80,TOTAL NACIONAL,Extremadura,11823
1117 Colelitiasis K80,TOTAL NACIONAL,Galicia,39378
1117 Colelitiasis K80,TOTAL NACIONAL,"Madrid, comunidad de",61037
1117 Colelitiasis K80,TOTAL NACIONAL,"Murcia, región de",17359
1117 Colelitiasis K80,TOTAL NACIONAL,"Navarra, comunidad foral de",5814
1117 Colelitiasis K80,TOTAL NACIONAL,País vasco,19926
1117 Colelitiasis K80,TOTAL NACIONAL,"Rioja, la",3587
1117 Colelitiasis K80,TOTAL NACIONAL,Ceuta,559
1117 Colelitiasis K80,TOTAL NACIONAL,Melilla,665
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Andalucía,26536
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Aragón,7060
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Asturias, principado de",9187
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Balears, illes",4229
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Canarias,7429
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Cantabria,2109
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Castilla y león,12912
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Castilla - la mancha,10861
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Cataluña,47000
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Comunitat valenciana,21258
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Extremadura,5615
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Galicia,19560
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Madrid, comunidad de",27806
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Murcia, región de",6032
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Navarra, comunidad foral de",3152
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,País vasco,10289
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,"Rioja, la",2016
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Ceuta,211
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83,TOTAL NACIONAL,Melilla,272
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Andalucía,59839
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Aragón,9114
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Asturias, principado de",7278
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Balears, illes",6424
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Canarias,10215
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Cantabria,2709
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Castilla y león,17351
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Castilla - la mancha,16497
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Cataluña,48891
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Comunitat valenciana,28509
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Extremadura,6812
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Galicia,19527
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Madrid, comunidad de",40610
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Murcia, región de",8886
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Navarra, comunidad foral de",3426
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,País vasco,12511
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,"Rioja, la",1957
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Ceuta,337
1119 Enfermedades pancreáticas K85-K87,TOTAL NACIONAL,Melilla,467
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Andalucía,52273
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Aragón,11323
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Asturias, principado de",9691
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Balears, illes",8126
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Canarias,16508
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Cantabria,4344
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Castilla y león,20709
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Castilla - la mancha,15247
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Cataluña,56160
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Comunitat valenciana,34105
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Extremadura,8268
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Galicia,22179
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Madrid, comunidad de",45334
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Murcia, región de",10203
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Navarra, comunidad foral de",4505
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,País vasco,18183
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,"Rioja, la",3026
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Ceuta,558
1120 Otras enfermedades del aparato digestivo Resto de (K00-K95),TOTAL NACIONAL,Melilla,327
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Andalucía,49739
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Aragón,14202
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Asturias, principado de",12436
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Balears, illes",13873
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Canarias,25162
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Cantabria,5125
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Castilla y león,25705
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Castilla - la mancha,14426
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Cataluña,145497
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Comunitat valenciana,33657
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Extremadura,8201
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Galicia,34680
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Madrid, comunidad de",58473
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Murcia, región de",16716
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Navarra, comunidad foral de",5036
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,País vasco,19449
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,"Rioja, la",4294
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Ceuta,721
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99,TOTAL NACIONAL,Melilla,449
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Andalucía,23703
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Aragón,6183
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Asturias, principado de",6296
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Balears, illes",6110
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Canarias,9667
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Cantabria,2801
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Castilla y león,11337
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Castilla - la mancha,7126
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Cataluña,49909
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Comunitat valenciana,17598
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Extremadura,4225
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Galicia,18943
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Madrid, comunidad de",24243
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Murcia, región de",8067
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Navarra, comunidad foral de",2440
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,País vasco,11443
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,"Rioja, la",1357
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Ceuta,469
1201 Infecciones de la piel y del tejido subcutáneo L00-L08,TOTAL NACIONAL,Melilla,244
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,Andalucía,1322
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,Aragón,1260
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,"Asturias, principado de",233
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,"Balears, illes",253
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,Canarias,489
"1202 Dermatitis, eccema y trastornos papuloescamosos L20-L45",TOTAL NACIONAL,Cantabria,90
